wall time,step,value
1625666441.2215316,0,5.327445251168683e-05
1625666660.2688494,1,1.9966182662756182e-05
1625666814.0775862,2,1.8304459445062093e-05
1625666969.7271552,3,1.7725080397212878e-05
1625667125.9078937,4,1.7413349269190803e-05
1625667281.4169338,5,1.7038539226632565e-05
1625667478.1815581,6,1.6895452063181438e-05
1625667645.5158474,7,1.677736327110324e-05
1625667812.632938,8,1.661835085542407e-05
1625667975.342588,9,1.6473233699798584e-05
1625668146.179001,10,1.6357718777726404e-05
1625668303.9679456,11,1.6271562344627455e-05
1625668463.3887188,12,1.6210615285672247e-05
1625668623.3560343,13,1.6109192074509338e-05
1625668780.2451975,14,1.605434954399243e-05
1625668939.6189306,15,1.6015934306778945e-05
1625669098.2426012,16,1.5913481547613628e-05
1625669255.1632655,17,1.5861869542277418e-05
1625669411.0526323,18,1.5815776350791566e-05
1625669567.4370832,19,1.5741170500405133e-05
1625669728.5043359,20,1.5714696928625926e-05
1625669886.2834013,21,1.5549241652479395e-05
1625670043.4539783,22,1.5466341210412793e-05
1625670201.1714742,23,1.5507392163272016e-05
1625670360.217344,24,1.5258390703820623e-05
1625670519.2002563,25,1.5166058801696636e-05
1625670678.7459073,26,1.498248730058549e-05
1625670844.6197236,27,1.470615461585112e-05
1625671006.071562,28,1.4519512660626788e-05
1625671167.0703518,29,1.4297986126621254e-05
1625671328.7409525,30,1.4044111594557762e-05
1625671493.8337557,31,1.3780963854514994e-05
1625671657.7697933,32,1.3315127034729812e-05
1625671819.0343125,33,1.3011614100832958e-05
1625671983.6423373,34,1.2680483450822067e-05
1625672148.5116827,35,1.2449308997020125e-05
1625672306.1868532,36,1.223460458277259e-05
1625672463.0608428,37,1.2022775990772061e-05
1625672624.6530752,38,1.1880280908371788e-05
1625672782.0270255,39,1.1775861821661238e-05
1625672941.1509485,40,1.1595109754125588e-05
1625673124.9618914,41,1.1483118214528076e-05
1625673280.7164836,42,1.1374124369467609e-05
1625673438.52197,43,1.1275676115474198e-05
1625673595.6869984,44,1.126540701079648e-05
1625673754.4141488,45,1.1071238986914977e-05
1625673911.7542038,46,1.100710142054595e-05
1625674068.2590091,47,1.0935576028714422e-05
1625674225.752083,48,1.0834476597665343e-05
1625674384.4636116,49,1.0782905519590713e-05
1625674540.6601255,50,1.0685654160624836e-05
1625674699.6588736,51,1.0627145456965081e-05
1625674860.6042523,52,1.0556366760283709e-05
1625675019.9734707,53,1.0499426934984513e-05
1625675182.5746984,54,1.0416831173643004e-05
1625675344.863501,55,1.0407398804090917e-05
1625675503.3251069,56,1.0323748938390054e-05
1625675660.8887508,57,1.030814655678114e-05
1625675822.91204,58,1.018259263219079e-05
1625675983.248191,59,1.0150190973945428e-05
1625676149.8172145,60,1.0101699444931e-05
1625676328.2427485,61,1.0052692232420668e-05
1625676499.170101,62,1.0038066648121458e-05
1625676675.6429846,63,9.946496902557556e-06
1625676847.6393485,64,9.918552677845582e-06
1625677003.867137,65,9.883284292300232e-06
1625677159.6419072,66,9.854446034296416e-06
1625677316.5726495,67,9.808333743421827e-06
1625677472.5826097,68,9.751662219059654e-06
1625677628.9419634,69,9.721585229272023e-06
1625677785.8883433,70,9.693906577012967e-06
1625677944.8810997,71,9.661744115874171e-06
1625678102.2492516,72,9.61119349085493e-06
1625678255.930797,73,9.583541213942226e-06
1625678410.9870074,74,9.540875907987356e-06
1625678565.284227,75,9.505013622401748e-06
1625678718.715831,76,9.474903890804853e-06
1625678871.94436,77,9.4497909230995e-06
1625679025.688389,78,9.39684559853049e-06
1625679179.5925348,79,9.371027772431262e-06
1625679333.5083985,80,9.351020707981661e-06
1625679486.173276,81,9.322146979684476e-06
1625679640.2765937,82,9.276715900341514e-06
1625679797.4416687,83,9.25699896470178e-06
1625679955.5227818,84,9.244089596904814e-06
1625680120.927647,85,9.196257451549172e-06
1625680288.7702243,86,9.172187674266752e-06
1625680457.894279,87,9.147056516667362e-06
1625680628.1429627,88,9.115718057728373e-06
1625680798.5325606,89,9.10765811568126e-06
1625680984.5937567,90,9.064261575986166e-06
1625681154.2643855,91,9.029117791214958e-06
1625681325.1849859,92,8.999044439406134e-06
1625681492.777999,93,8.989430170913693e-06
1625681663.3701377,94,8.950072697189171e-06
1625681834.0569253,95,8.925118891056627e-06
1625682001.8210044,96,8.917167178879026e-06
1625682182.5384257,97,8.864765732141677e-06
1625682355.0374742,98,8.849284313328099e-06
1625682509.8643055,99,8.843039722705726e-06
